,true_answer,model_answer,question
131377,"Ed ""Too Tall"" Jones""","Who is Ed ""Too Tall"" Jones?","'This ""large"" 3-time All-Pro Dallas Cowboy took time off from football to box in 1979'"
117487,shoe/hose,What is shoes?,'You can put one of these on after your hose'
129098,"""A Groovy Kind Of Love""","What is ""Groovy Kind of Love""?",'In 1988 Phil Collins resurrected this Mindbenders hit & topped the charts'
216401,President Bill Clinton,Who is Bill Clinton?,"'In 1994 Laetitia Thompson made news when she asked this man the ""Boxers or Briefs"" question'"
212855,Fr. Charles Coughlin,Who is Father Charles Coughlin?,"'At 1st this ""radio priest"" supported FDR but in later years opposed the New Deal'"
27542,(Frederick) Loewe,Who is Frederick Loewe?,"'He was a prizefighter, prospector, & cowpuncher before he teamed up with Alan Jay Lerner'"
180573,Lord Haw Haw,Who is Lord Haw-Haw?,'No one was laughing when American William Joyce broadcast Nazi propaganda under this pseudonym in WWII'
12789,"""Angela\'s Ashes""",What is Angela's Ashes?,'Frank McCourt tells about growing up in the slums of Ireland in this Pulitzer Prize-winning memoir'
128904,Indy 500,What is the Indianapolis 500?,"'At the end of May, Emerson Fittipaldi won this auto race for the second time'"
184985,Bing Crosbys,Who are Bing Crosby?,"'If you're on the road to Morocco, take along some Bob Hopes & these, Bob's partner'"
141031,sabre,What is a saber?,'This cavalry weapon was inspired by the Turkish scimitar'
176183,tax/taxpayers\' revolt,What is a tax revolt?,"'California's Proposition 13, limiting property assessments, pioneered this type of ""revolt""'"
96218,Richard M. Nixon,"Who is Richard Nixon in the film ""Nixon""?",'Consummate politician portrayed here in a 1995 film:<br />(by Anthony Hopkins)'
37192,(Kurt) Russell,Who is Kurt Russell?,"'In the episode ""Gilligan Meets Jungle Boy"", the Jungle Boy was this future ""Escape from New York"" star'"
17856,Bar Mitzvahed,What is a Bar Mitzvah?,"'At 13 a Jewish boy automatically becomes this, the religious ceremony is not essential'"
189820,Charlie\'s Angels,What is Charlie's Angels?,"'Tommy Lee Jones guest-starred on the pilot for this TV series, but I was looking at Farrah'"
191052,a balloon,What is a hot air balloon?,'In 1783 Pilatre de Rozier became the first to fly in one of these'
99892,JFK,Who is John F. Kennedy?,"'May 29, 1917 in Brookline, Massachusetts'"
30851,"Micronesia, Melanesia & Polynesia","What are Micronesia, Melanesia, and Polynesia?","'(<a href=""http://www.j-archive.com/media/2010-11-08_DJ_25.jpg"" target=""_blank"">Sarah of the Clue Crew stands by a map of the South Pacific.</a>)  The islands of the central & South Pacific are often divided into these three regions, whose names mean ""little"", ""black"" & ""many islands""'"
137824,Pierre L\'Enfant,Who is Pierre Charles L'Enfant?,"'This Parisian who drew up the original plans for Washington, D.C. is buried at Arlington National Cemetery'"
41766,a mating ritual,What is a mating dance?,"'For the blue-backed manakin, this ritual begins with a duet sung by 2 birds--a dominant male & his wingman'"
169683,U.S. Postal Service,Who is Team US Postal?,'Lance was dropped from a team after he got cancer; in 1997 this new team picked him up & he delivered victories'
209336,"""Jane Eyre""","What is ""Jane Eyre?""",'Elizabeth Taylor was a budding star when she played an orphan in this 1944 film based on a Bronte novel'
48034,Harry Truman,Who is Harry S. Truman?,"'This president had the interior gutted & completely restored, & added a balcony'"
127165,Mt. Shasta,What is Mount Shasta?,'This twin-peaked volcano in northern California has 5 small glaciers on its slopes'
181632,feet (hooves accepted),What are the feet of the sheep?,"'In the French dish pieds et paquets, the paquets are packets of sheep's tripe & the pieds are these sheep extremities'"
60823,(Maurice) Sendak,Who is Maurice Sendak?,"'Works by this beloved children's author/illustrator include ""In The Night Kitchen""'"
203317,"""Pretty Woman""","What is ""Oh, Pretty Woman""?","'2 Live Crew's alteration of this Roy Orbison lyric to ""Big Hairy Woman"" began a copyright battle'"
81430,(John) Keats,Who is John Keats?,"'Percy Shelley wrote ""Adonais"" on the death of this friend & fellow poet'"
12357,a bossy Aussie,"What is a ""bossy Aussie""?",'An overly pushy person from Sydney'
216583,the sea,What is the ocean floor?,"'Life here was the subject of the 1965 book ""World Without Sun""'"
201279,The Lindbergh baby,Who is Charles Lindbergh Jr.?,"'His disappearance made headlines March 2, 1932'"
213518,D’Oyly Carte,What is the D'Oyly Carte Opera Company?,'This opera company known for its Gilbert & Sullivan shows went out of business in February'
86154,shellacked,What is shellacking?,"'This type of varnishing is what the Restorers did to the Cabinets, 11-2'"
177642,FDR,Who was President Franklin D. Roosevelt?,"'His last words, spoken in Warm Springs, Georgia, were ""I have a terrific headache""'"
92645,a recitativo,What is recitative?,"'Term for an opera passage that's more spoken than sung, with little accompaniment'"
74835,beaches,What is Waikiki?,'Dover or Waikiki'
139436,Pliny (the Elder),Who is Pliny the Elder?,"'This ""elder"" Roman writer died in 79 A.D. while rescuing people from mount Vesuvius' eruption'"
137434,(the gunfight at) the OK Corral,What is the Gunfight at the O.K. Corral?,"'Brothers Virgil & Morgan were shot here, but Wyatt Earp emerged unscathed'"
87192,"July 4, 1776","What is July 4th, 1776?","'It's reported that on this date King George III wrote in his diary, ""Nothing of importance happened today""'"
25751,double-deckers,What are double-decker buses?,'Those big red buses in London are described as these'
200105,the Never Never Land of the Midnight Sun Ra,"What is Neverland, Alaska's Last Frontier, and Sun Ra?",'This place of pirates & lost boys adds Alaska's nickname & is home to the leader of Jazz' Solar Arkestra'
109043,Hellboy,"What is the original title of the Ron Perlman film that was damned with the title ""Super Sapiens"" by the censorship board in Malaysia?
","'The censorship board in Malaysia damned this Ron Perlman film with the title ""Super Sapiens""'"
115887,an a-ha moment,"What are ""aha moments""?",'Oprah calls instants of realization these moments; actress Ginnifer Goodwin had one that made her become a vegan'
169285,Cybill Shepherd & Bruce Willis,Who are Cybill Shepherd and Bruce Willis?,"'These 2 actors were ""Moonlighting"" as the Blue Moon Detective Agency's Maddie Hayes & David Addison'"
157927,Parkinson\'s disease,What is Parkinson’s disease?,"'In a 1998 issue of People magazine, Michael J. Fox revealed that he had been diagnosed with this disease'"
34903,fossils,What is Fossil?,"'Latin for ""dug up""; it's the term for ancient plants & animals that have been preserved in sedimentary rock'"
190696,constellations,What is a constellation?,"'Telescopium, or telescope, is one of the 88 of these'"
76738,"Albert Gore, Sr.",Who is Al Gore Sr.?,'In 1956 this Tennessee senator lost a vote for nomination to be VP; his son did better in 1992'
42940,1,What is one foot?,'Number of feet you have to have to be an official snail'
166395,a payroll tax (a payroll deduction accepted),What is a payroll tax?,'Your Social Security contribution is this type of levy that comes out of your salary each week'
178268,A Hard Day\'s Night,"What is ""A Hard Day's Night""?","'This Beatles film premiered in London on July 6, 1964'"
183348,The Meadowlands (Giants Stadium),What is Giants Stadium?,'One highlight at this now-departed N.J. venue was Ron Dixon's kickoff return in 2001 to start a 20-10 playoff victory'
138465,Make-up,What is makeup?,"'When Lou reads the call sheet for the shoot, he knows ""A.D."" means assistant director & ""MU"" means this'"
140888,dye/die,"What is ""dye"" or ""die""?","'It can be a permanent coloring, or a cube with dots--roll again'"
196490,the Democrats,What is the Democratic Party?,'The rooster was symbol of this party before Thomas Nast drew their new one in 1870'
174691,"""The Wonder Years""",What is The Wonder Years?,"'Daniel Stern, as the adult Kevin Arnold, narrated this series set in the 1960s'"
199868,(Earl) Warren,Who is Earl Warren?,'He chaired the commission that investigated the deaths of JFK & Lee Harvey Oswald'
50576,On Her Majesty\'s Secret Service,What is On Her Majesty's Secret Service?,"'""O.H.M.S.S.""'"
61746,George\'s gorges,Who is George Harrison's canyons?,'Lead guitarist's deep ravines'
183295,Teddy Roosevelt,Who was Theodore Roosevelt?,'By 1905 football had gotten so violent that this U.S. president urged rule changes'
145901,the ravens,What are ravens?,'6 of these were brought inside the Tower of London in 2006 to guard them against bird flu'
38104,Jim\'s swims,"What is ""Jim's swims""? (Referring to Jim Morrison of The Doors)",'Morrison's skinny-dippings'
146805,what she\'s having,"""What she's having.""","'""When Harry Met Sally"":  ""I'll have ____ ____ ____""'"
20440,U.S. Open (tennis),What is the US Open?,'In 1978 the first champion of this tournament in the Flushing Meadows era was crowned'
128913,"""The Grand Ole Opry""",What is the Grand Ole Opry?,'From 1943 to 1974 this radio program was broadcast from Nashville's Ryman Auditorium'
26504,Polygraph/lie detector,What is a polygraph?,"'An applicant in San Jose will be tested with this device, like Ben Stiller in ""Meet the Parents""'"
189495,bats,What is echolocation?,"'To avoid being eaten, some moths have a special organ to pick up high-frequency sounds made by these mammals'"
67691,John Brown\'s Body,"What is the poem ""John Brown's Body""?",'The epic in Stephen Vincent Benet's body of work that won him a 1929 Pulitzer'
86690,Henry Wallace,Who is Henry A. Wallace?,'...served from 1941 to 1945'
168834,Vandyke,What is Van Dyke?,"'A beard & a shade of brown are both named this, after a Flemish painter'"
121971,the President pro tem (of the Senate),Who is the President pro tempore of the Senate?,"'From 1792 to 1886 this person, not the Speaker of the House, followed the vice president in the line of succession'"
97020,Mayans,What is the Maya civilization?,'(Sarah of the Clue Crew in Belize)  Xunantunich was a ceremonial center of this civilization that flourished from about 300 B.C. to 900 A.D.'
95100,(the) Courtier,Who is a Courtier?,"'In 1528 Castiglione described the perfect royal attendant in ""Libro del Cortegiano"", ""Book of"" this person'"
172488,Gilette,What is Gillette?,"'This company says it's ""the best a man can get"", though mileage may vary with its Mach3 Turbo razor'"
6332,Pinto bean,What is pinto?,'This type of frijole may end up refried'
150225,dot edu,"What is "".edu""?","'Authorized by the Dept. of Commerce, all web addresses from eligible schools use (.) this'"
207005,Treasury Department,What is the Department of the Treasury?,'The Bureau of Engraving and Printing is part of this department'
133525,Charles Parnell,Who is Charles Stewart Parnell?,'This 19th century fighter for Irish home rule was scandalously involved with a married woman named Kitty O'Shea'
107527,I.M. Pei,Who is I. M. Pei?,'This Asian-born architect designed Boston's John Hancock Tower'
711,(Aleksandr) Pushkin,Who is Alexander Pushkin?,"'He was descended from an Abyssinian prince, Peter the Great's godson'"
83156,The Gilmore Girls,What is Gilmore Girls?,'Luke Danes;<br />Lorelai & Rory<br />(their last name would kinda give the clue away)'
187931,The Offspring,What is Offspring?,"'It's the California rock group that asked us to ""Come Out and Play"" in '94'"
172002,Ohio (Columbus) & South Carolina (Columbia),What are Ohio and South Carolina?,'The 2 states that named their capitals for Christopher Columbus'
142588,an eye,What is the CBS Eye?,"'This symbol of CBS had its opening October 20, 1951'"
194966,"""Hot Lips"" Houlihan",What is the role of Hot Lips Houlihan in the movie 'MASH'?,'Sally Kellerman &<br />Loretta Swit'
2713,a shotgun shack,What is a shotgun house?,"'(<a href=""http://www.j-archive.com/media/2010-09-16_J_29.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from New Orleans, LA.</a>)  The architects who designed Make It Right homes all used the tradition of <a href=""http://www.j-archive.com/media/2010-09-16_J_29a.jpg"" target=""_blank"">this</a> type of home, suited to the narrow New Orleans lots with high ceilings to let heat rise'"
